iter	RMSE
0	16.54610774
1	16.15388339
2	15.76604556
3	15.34131762
4	15.03863711
5	14.66792783
6	14.23294532
7	13.90247547
8	13.5838191
9	13.30988656
10	13.02126199
11	12.72077393
12	12.51758615
13	12.27588701
14	12.07325024
15	11.86925751
16	11.68620069
17	11.51315323
18	11.36263028
19	11.16359281
20	10.94396208
21	10.76397392
22	10.59959686
23	10.48204125
24	10.39411871
25	10.21961647
26	10.1285983
27	9.960138685
28	9.874184157
29	9.77836329
30	9.623846122
31	9.481443704
32	9.336171554
33	9.223713923
34	9.086380702
35	8.996746939
36	8.92531065
37	8.825250801
38	8.722996446
39	8.640668151
40	8.540492454
41	8.462679983
42	8.409274283
43	8.332536899
44	8.25556085
45	8.211502497
46	8.123384386
47	8.047965621
48	8.014817352
49	7.97364236
50	7.939676637
51	7.861227407
52	7.787202444
53	7.744465428
54	7.690822283
55	7.632409707
56	7.598537638
57	7.553860574
58	7.520807532
59	7.469701104
60	7.437785367
61	7.406325157
62	7.385020658
63	7.350108654
64	7.304612916
65	7.281464516
66	7.247985605
67	7.208671372
68	7.177721617
69	7.155041761
70	7.124048662
71	7.097121564
72	7.079683154
73	7.04996099
74	7.023224147
75	6.999309811
76	6.979090722
77	6.956321717
78	6.925584275
79	6.89014163
80	6.868149708
81	6.849602877
82	6.82679397
83	6.814629762
84	6.792838058
85	6.769538638
86	6.756601768
87	6.732704235
88	6.713492046
89	6.689667175
90	6.664867353
91	6.648680309
92	6.634932564
93	6.621147805
94	6.594706526
95	6.584452014
96	6.564500199
97	6.547376392
98	6.530117556
99	6.518071245
100	6.505786377
101	6.495369112
102	6.480165073
103	6.462990038
104	6.448616767
105	6.440816678
106	6.42601297
107	6.414098255
108	6.396143455
109	6.373361978
110	6.363261658
111	6.349836429
112	6.342851914
113	6.338962398
114	6.32704658
115	6.311785204
116	6.296948356
117	6.289559574
118	6.274748668
119	6.267318987
120	6.25799558
121	6.241346689
122	6.231231066
123	6.223152803
124	6.212282299
125	6.198958884
126	6.185816072
127	6.177819736
128	6.158039011
129	6.138581126
130	6.127907589
131	6.11447387
132	6.096486985
133	6.085896215
134	6.074229229
135	6.06966328
136	6.052488896
137	6.041947874
138	6.022858911
139	6.017983331
140	6.003202131
141	5.990924613
142	5.983727987
143	5.974707562
144	5.95749661
145	5.936094424
146	5.921177098
147	5.9066096
148	5.894043974
149	5.880081084
150	5.872226229
151	5.860927607
152	5.849203808
153	5.831424248
154	5.82280361
155	5.810784272
156	5.796886096
157	5.788083579
158	5.771647719
159	5.74870638
160	5.741462588
161	5.721425951
162	5.713424895
163	5.698381152
164	5.691514601
165	5.670790088
166	5.656461827
167	5.647972218
168	5.633666583
169	5.625874095
170	5.608992222
171	5.598775511
172	5.583960867
173	5.572455451
174	5.556384272
175	5.546252245
176	5.530833199
177	5.523258975
178	5.509157082
179	5.491236437
180	5.483219885
181	5.475730201
182	5.465131262
183	5.459091803
184	5.446224269
185	5.436200911
186	5.432652818
187	5.421909549
188	5.405964145
189	5.39453446
190	5.391150397
191	5.383632373
192	5.373749296
193	5.367492267
194	5.3593076
195	5.356629901
196	5.350314067
197	5.33973667
198	5.33252643
199	5.317230192
200	5.302397103
201	5.295993537
202	5.287568047
203	5.27645733
204	5.260779071
205	5.252459108
206	5.243171909
207	5.237479088
208	5.224181766
209	5.217804151
210	5.215464931
211	5.203384856
212	5.194735822
213	5.185371211
214	5.183398517
215	5.176220669
216	5.174153508
217	5.171887304
218	5.158816888
219	5.149727372
220	5.141683855
221	5.132845855
222	5.127596876
223	5.118893268
224	5.111590827
225	5.106364199
226	5.100480539
227	5.092896504
228	5.085683797
229	5.078676591
230	5.068885613
231	5.059144062
232	5.050695433
233	5.03994064
234	5.029861277
235	5.021086548
236	5.01931331
237	5.010628656
238	5.009207514
239	5.006206191
240	5.001996293
241	4.996057653
242	4.991391244
243	4.985322202
244	4.976532857
245	4.969010653
246	4.964485884
247	4.958062433
248	4.956633402
249	4.950105175
250	4.943624328
251	4.938006608
252	4.925303393
253	4.918303054
254	4.911916958
255	4.900818377
256	4.895578447
257	4.88592741
258	4.879576511
259	4.872016292
260	4.87080144
261	4.86015192
262	4.856731464
263	4.84947581
264	4.843163993
265	4.841577189
266	4.839882359
267	4.830052934
268	4.825892923
269	4.821809611
270	4.820782683
271	4.815662154
272	4.813331593
273	4.80243622
274	4.801126167
275	4.790382485
276	4.786109972
277	4.781746261
278	4.771889326
279	4.760692882
280	4.751096637
281	4.746361112
282	4.737492324
283	4.732863816
284	4.727971006
285	4.724782139
286	4.72148756
287	4.72007893
288	4.715590051
289	4.707973701
290	4.70285785
291	4.699105485
292	4.69343113
293	4.689912871
294	4.681462998
295	4.677710057
296	4.670196334
297	4.663976761
298	4.663059474
299	4.659357822
300	4.650019183
301	4.643659089
302	4.634061437
303	4.629186434
304	4.622797356
305	4.616138165
306	4.606364491
307	4.602177746
308	4.600452984
309	4.591392644
310	4.581871666
311	4.573569207
312	4.570603861
313	4.566622666
314	4.561398211
315	4.56042467
316	4.558712815
317	4.556117577
318	4.551002003
319	4.54334127
320	4.534865359
321	4.531761624
322	4.526153377
323	4.519396444
324	4.518553535
325	4.512969539
326	4.505116942
327	4.498280508
328	4.491589707
329	4.486182015
330	4.481434591
331	4.475647796
332	4.474453432
333	4.469328694
334	4.464955076
335	4.459273489
336	4.452662429
337	4.449890921
338	4.444372339
339	4.43591669
340	4.428261454
341	4.422808731
342	4.415830288
343	4.410827546
344	4.407375359
345	4.404220124
346	4.4007269
347	4.395687798
348	4.390398741
349	4.385549129
350	4.382749825
351	4.379490467
352	4.374096413
353	4.370785491
354	4.366408987
355	4.362119869
356	4.358936105
357	4.354051848
358	4.347800516
359	4.342276738
360	4.341727241
